employee_id,skill_name,proficiency_level,years_experience,is_primary_skill,certified,last_used
EMP001,React,5,4.0,TRUE,FALSE,2023-10-01
EMP001,TypeScript,4,3.0,FALSE,FALSE,2023-10-01
EMP001,Next.js,4,2.0,FALSE,FALSE,2023-09-15
EMP001,Tailwind CSS,4,2.5,FALSE,FALSE,2023-10-01
EMP002,Python,5,6.0,TRUE,TRUE,2023-10-01
EMP002,FastAPI,5,3.0,FALSE,FALSE,2023-10-01
EMP002,PostgreSQL,4,5.0,FALSE,TRUE,2023-10-01
EMP002,Docker,4,4.0,FALSE,FALSE,2023-09-20
EMP002,AWS,3,3.0,FALSE,FALSE,2023-08-15
EMP003,React Native,4,3.0,TRUE,FALSE,2023-10-01
EMP003,Swift,3,2.0,FALSE,FALSE,2023-09-10
EMP003,Kotlin,3,2.0,FALSE,FALSE,2023-09-10
EMP003,React,4,3.5,FALSE,FALSE,2023-10-01
EMP004,Python,5,5.0,TRUE,TRUE,2023-10-01
EMP004,TensorFlow,4,3.0,FALSE,TRUE,2023-09-25
EMP004,PyTorch,4,2.5,FALSE,FALSE,2023-09-20
EMP004,OpenAI API,5,2.0,FALSE,FALSE,2023-10-01
EMP004,Scikit-learn,4,3.5,FALSE,FALSE,2023-09-15
EMP005,Docker,5,4.0,TRUE,TRUE,2023-10-01
EMP005,Kubernetes,4,2.0,FALSE,TRUE,2023-09-28
EMP005,AWS,4,3.0,FALSE,FALSE,2023-10-01
EMP005,GitHub Actions,4,2.5,FALSE,FALSE,2023-09-30
EMP005,Python,3,2.0,FALSE,FALSE,2023-08-20
EMP006,UI/UX Design,5,6.0,TRUE,TRUE,2023-10-01
EMP006,Figma,5,4.0,FALSE,TRUE,2023-10-01
EMP006,Adobe Creative Suite,4,5.0,FALSE,FALSE,2023-09-25
EMP007,React,3,1.5,FALSE,FALSE,2023-10-01
EMP007,Node.js,3,1.5,TRUE,FALSE,2023-10-01
EMP007,MongoDB,2,1.0,FALSE,FALSE,2023-09-15
EMP007,Express.js,3,1.5,FALSE,FALSE,2023-10-01
EMP008,Python,3,2.0,FALSE,FALSE,2023-09-30
EMP008,TypeScript,3,2.0,TRUE,FALSE,2023-10-01
EMP009,Java,5,8.0,TRUE,TRUE,2023-09-15
EMP009,Spring Boot,5,6.0,FALSE,TRUE,2023-09-15
EMP009,AWS,5,7.0,FALSE,TRUE,2023-10-01
EMP009,Docker,4,5.0,FALSE,FALSE,2023-09-20
EMP009,Kubernetes,4,4.0,FALSE,FALSE,2023-09-18
EMP010,UI/UX Design,4,4.0,FALSE,FALSE,2023-08-15
EMP010,React,3,2.0,FALSE,FALSE,2023-07-20
EMP011,React,5,5.0,TRUE,FALSE,2023-10-01
EMP011,Node.js,4,4.5,FALSE,FALSE,2023-10-01
EMP011,TypeScript,5,4.0,FALSE,TRUE,2023-09-30
EMP011,PostgreSQL,4,4.0,FALSE,FALSE,2023-09-28
EMP011,Docker,4,3.5,FALSE,FALSE,2023-09-25
EMP012,Vue.js,4,2.5,TRUE,FALSE,2023-10-01
EMP012,JavaScript,4,3.0,FALSE,FALSE,2023-10-01
EMP012,Tailwind CSS,3,1.5,FALSE,FALSE,2023-09-20
EMP012,HTML/CSS,5,3.0,FALSE,FALSE,2023-10-01
EMP013,Java,5,6.0,TRUE,TRUE,2023-10-01
EMP013,Spring Boot,5,5.0,FALSE,TRUE,2023-10-01
EMP013,MySQL,4,5.5,FALSE,FALSE,2023-09-30
EMP013,Microservices,4,4.0,FALSE,FALSE,2023-09-28
EMP013,Kubernetes,3,2.0,FALSE,FALSE,2023-09-15
EMP014,Python,4,3.5,TRUE,FALSE,2023-10-01
EMP014,Pandas,4,2.5,FALSE,FALSE,2023-09-30
EMP014,SQL,4,3.0,FALSE,FALSE,2023-10-01
EMP014,Scikit-learn,3,2.0,FALSE,FALSE,2023-09-25
EMP014,Data Visualization,4,2.5,FALSE,FALSE,2023-09-28
EMP015,React,5,6.0,TRUE,TRUE,2023-10-01
EMP015,Node.js,5,6.5,FALSE,TRUE,2023-10-01
EMP015,MongoDB,4,5.0,FALSE,FALSE,2023-09-30
EMP015,GraphQL,4,3.0,FALSE,FALSE,2023-09-28
EMP015,AWS,4,4.0,FALSE,FALSE,2023-09-25
EMP016,React,3,1.0,TRUE,FALSE,2023-10-01
EMP016,JavaScript,3,1.5,FALSE,FALSE,2023-10-01
EMP016,HTML/CSS,4,1.5,FALSE,FALSE,2023-10-01
EMP016,Git,3,1.0,FALSE,FALSE,2023-09-20
EMP017,Docker,5,5.0,TRUE,TRUE,2023-10-01
EMP017,Kubernetes,5,4.0,FALSE,TRUE,2023-10-01
EMP017,AWS,5,5.5,FALSE,TRUE,2023-09-30
EMP017,Terraform,4,3.0,FALSE,FALSE,2023-09-28
EMP017,Jenkins,4,4.0,FALSE,FALSE,2023-09-25
EMP017,Python,4,3.0,FALSE,FALSE,2023-09-20
EMP018,Swift,5,4.0,TRUE,TRUE,2023-10-01
EMP018,iOS,5,4.5,FALSE,TRUE,2023-10-01
EMP018,Xcode,5,4.0,FALSE,FALSE,2023-10-01
EMP018,SwiftUI,4,2.0,FALSE,FALSE,2023-09-28
EMP018,REST APIs,4,3.5,FALSE,FALSE,2023-09-30
EMP019,Python,4,3.0,TRUE,FALSE,2023-10-01
EMP019,Django,4,2.5,FALSE,FALSE,2023-09-30
EMP019,PostgreSQL,4,2.5,FALSE,FALSE,2023-09-28
EMP019,Redis,3,1.5,FALSE,FALSE,2023-09-20
EMP020,Selenium,5,5.0,TRUE,TRUE,2023-10-01
EMP020,Cypress,4,3.0,FALSE,TRUE,2023-09-30
EMP020,Jest,4,4.0,FALSE,FALSE,2023-09-28
EMP020,Python,4,3.5,FALSE,FALSE,2023-09-25
EMP020,Test Automation,5,5.0,FALSE,FALSE,2023-10-01
EMP021,JavaScript,3,1.5,TRUE,FALSE,2023-10-01
EMP021,Node.js,3,1.5,FALSE,FALSE,2023-09-30
EMP021,Express.js,3,1.0,FALSE,FALSE,2023-09-25
EMP021,MongoDB,2,1.0,FALSE,FALSE,2023-09-20
EMP022,Figma,4,2.5,TRUE,TRUE,2023-10-01
EMP022,Adobe XD,4,2.0,FALSE,FALSE,2023-09-30
EMP022,UI/UX Design,4,3.0,FALSE,FALSE,2023-10-01
EMP022,Prototyping,4,2.5,FALSE,FALSE,2023-09-28
EMP023,Docker,5,6.0,TRUE,TRUE,2023-10-01
EMP023,Kubernetes,5,5.0,FALSE,TRUE,2023-09-30
EMP023,AWS,5,6.5,FALSE,TRUE,2023-10-01
EMP023,Azure,4,4.0,FALSE,FALSE,2023-09-28
EMP023,Terraform,5,4.5,FALSE,TRUE,2023-09-25
EMP023,CI/CD,5,6.0,FALSE,FALSE,2023-10-01
EMP024,Python,5,6.0,TRUE,TRUE,2023-10-01
EMP024,TensorFlow,5,4.5,FALSE,TRUE,2023-09-30
EMP024,PyTorch,5,4.0,FALSE,TRUE,2023-09-28
EMP024,Machine Learning,5,5.0,FALSE,FALSE,2023-10-01
EMP024,Deep Learning,5,4.5,FALSE,FALSE,2023-09-25
EMP025,Kotlin,4,3.0,TRUE,TRUE,2023-10-01
EMP025,Android,4,3.5,FALSE,TRUE,2023-10-01
EMP025,Java,4,3.5,FALSE,FALSE,2023-09-30
EMP025,REST APIs,4,3.0,FALSE,FALSE,2023-09-28
EMP026,Product Management,4,3.0,TRUE,FALSE,2023-10-01
EMP026,Agile/Scrum,4,3.5,FALSE,TRUE,2023-09-30
EMP026,Jira,5,3.5,FALSE,FALSE,2023-10-01
EMP026,User Research,4,2.5,FALSE,FALSE,2023-09-28
EMP027,Python,5,8.0,TRUE,TRUE,2023-10-01
EMP027,Node.js,5,7.5,FALSE,TRUE,2023-09-30
EMP027,PostgreSQL,5,8.0,FALSE,TRUE,2023-10-01
EMP027,Microservices,5,7.0,FALSE,FALSE,2023-09-28
EMP027,System Design,5,8.5,FALSE,FALSE,2023-10-01
EMP027,AWS,5,7.0,FALSE,TRUE,2023-09-25
EMP028,Selenium,5,5.5,TRUE,TRUE,2023-10-01
EMP028,Jest,5,4.5,FALSE,TRUE,2023-09-30
EMP028,Cypress,5,4.0,FALSE,TRUE,2023-09-28
EMP028,Test Automation,5,6.0,FALSE,FALSE,2023-10-01
EMP028,API Testing,5,5.0,FALSE,FALSE,2023-09-25
EMP029,Python,5,6.5,TRUE,TRUE,2023-10-01
EMP029,Apache Spark,5,5.0,FALSE,TRUE,2023-09-30
EMP029,SQL,5,6.0,FALSE,TRUE,2023-10-01
EMP029,ETL,4,5.5,FALSE,FALSE,2023-09-28
EMP029,AWS,4,5.0,FALSE,FALSE,2023-09-25
EMP029,Data Modeling,5,6.0,FALSE,FALSE,2023-10-01
EMP030,React,4,2.5,FALSE,FALSE,2023-10-01
EMP030,Node.js,4,2.5,TRUE,FALSE,2023-10-01
EMP030,Express.js,4,2.0,FALSE,FALSE,2023-09-30
EMP030,MongoDB,3,2.0,FALSE,FALSE,2023-09-28
EMP030,TypeScript,3,1.5,FALSE,FALSE,2023-09-25
